Food Item,Mean Price (₦),Std Dev (₦),CV (%),Min Price (₦),Max Price (₦),Cheapest State (avg),Most Expensive State (avg),Highest Price State,Highest Price Period,Lowest Price State,Lowest Price Period,MoM Trend (%),Total Change (%),Annual Avg Change (%),Most Volatile State
Rice Medium Grained,603.85,504.11,83.5,133.94,3506.09,Adamawa,Anambra,Anambra,2024M4,Zamfara,2016M1,1.88,569.6,71.2,Kogi
Rice agric sold loose,601.2,505.17,84.0,142.31,3894.64,Kebbi,Bayelsa,Kwara,2024M4,Jigawa,2016M1,1.78,512.7,64.1,Nassarawa
Rice local sold loose,566.44,499.66,88.2,117.05,3215.0,Benue,Bayelsa,Kwara,2024M4,Gombe,2016M1,1.9,573.4,71.7,Kogi
"Rice,imported high quality sold loose",683.98,551.68,80.7,182.67,3350.33,Borno,Bayelsa,Kwara,2024M12,Sokoto,2016M1,1.89,519.7,65.0,Kwara
Sweet potato,259.26,267.86,103.3,56.83,1989.04,Borno,Bayelsa,Cross River,2024M11,Taraba,2018M1,2.12,658.3,82.3,Cross River
Tilapia fish (epiya) fresh,1220.03,924.6,75.8,84.98,6440.75,Taraba,Edo,Ebonyi,2024M12,Jigawa,2019M8,1.43,314.4,39.3,Bayelsa
Titus:frozen,1416.35,1021.4,72.1,197.8,5862.69,Anambra,Abia,Ebonyi,2024M12,Anambra,2019M3,1.7,426.0,53.2,Anambra
Tomato,476.13,473.52,99.5,54.98,4917.16,Adamawa,Anambra,Anambra,2024M4,Kaduna,2016M3,1.73,412.6,51.6,Nassarawa
Vegetable oil:1 bottle,891.03,675.49,75.8,180.71,4100.0,Jigawa,Ekiti,Ekiti,2024M12,Bayelsa,2019M1,1.84,505.6,63.2,Bayelsa
Wheat flour: prepacked (golden penny 2kg),1065.09,828.33,77.8,130.5,5463.63,Anambra,Abuja,Niger,2024M12,Anambra,2019M3,1.78,450.1,56.3,Anambra
Yam tuber,446.42,473.26,106.0,96.39,4200.11,Borno,Bayelsa,Kwara,2024M12,Katsina,2019M7,2.11,698.9,87.4,Kwara
